Instance,claspfolio
BF5_cpmp_16_5_64_13_39_11,36000.0000
BF5_cpmp_16_5_64_13_39_12,0.0640
BF5_cpmp_16_5_64_13_39_14,0.2600
BF5_cpmp_16_5_64_13_39_15,12.6650
cv_data5-5-8,251.2520
cv_data5-5-9,1.2080
cv_data5-5-6,431.8590
cv_data5-7-1,6.5240
cv_data5-5-4,63.8280
cv_data5-5-5,332.7690
cv_data5-7-4,368.8590
cv_data5-5-3,1.3960
cv_data5-7-7,524.6210
BF21_cpmp_20_5_80_16_48_7,27.2860
cv_data5-4-17,1010.4990
cv_data5-4-16,35.0180
cv_data5-4-15,60.6600
cv_data5-4-14,1259.8670
cv_data5-4-13,242.2550
cv_data5-4-12,57.7840
cv_data5-4-10,0.2960
cv_data4-4-2,0.0360
cv_data4-4-3,0.4000
cv_data4-4-7,0.5360
cv_data5-4-18,1.8760
BF3_cpmp_16_5_48_20_29_9,0.0000
BF3_cpmp_16_5_48_20_29_8,0.0040
BF3_cpmp_16_5_48_20_29_6,0.0040
BF3_cpmp_16_5_48_20_29_5,665.1540
BF3_cpmp_16_5_48_20_29_3,36000.0000
BF3_cpmp_16_5_48_20_29_1,108.9430
cv_data4-7-1,2.3360
cv_data4-7-3,0.8880
cv_data4-7-2,26.9980
cv_data4-7-5,29.2140
cv_data4-7-4,1.3040
cv_data4-7-7,62.6360
cv_data4-7-6,8.1730
cv_data4-7-9,0.5520
cv_data4-5-27,2.3040
cv_data4-5-24,0.0160
cv_data4-5-25,0.7640
cv_data4-5-22,0.4720
cv_data4-5-23,1.5600
cv_data4-5-20,0.3360
cv_data4-5-21,3.8160
BF9_cpmp_16_8_77_16_47_10,300.5630
BF9_cpmp_16_8_77_16_47_12,705.9360
cv_data3-7-5,0.0040
BF25_cpmp_20_8_96_20_58_20,36000.0000
cv_data5-7-31,632.0190
cv_data5-7-32,2907.3260
cv_data5-7-33,1496.7380
cv_data5-7-36,675.6860
cv_data5-7-37,96.0220
BF20_cpmp_20_5_60_24_45_3,0.0040
cv_data5-4-6,2.4320
cv_data5-9-32,1377.4380
cv_data4-7-19,5.9800
cv_data4-7-11,0.1120
cv_data4-7-10,96.4100
cv_data4-7-13,0.3960
cv_data4-7-12,275.8730
